Scenario,Area,Scope,Expected Result,Actual Result,Status,Owner,Evidence Link,Notes
NAV-01,Navigation,Household,All core wealth routes open successfully,,, ,,
INV-01,Investor Profiles,Household,Create investor profile works,,, ,,
INV-02,Investor Profiles,Household,Edit investor profile works,,, ,,
ACC-01,Demat Accounts,Household,Create demat account works,,, ,,
ACC-02,Demat Accounts,Household,Account links to investor correctly,,, ,,
IMP-OPEN-01,Opening Import,Demat Account,Dry run preview is valid,,, ,,
IMP-OPEN-02,Opening Import,Demat Account,Actual import posts to selected account only,,, ,,
IMP-OPEN-03,Opening Import,Demat Account,Duplicate source doc is blocked,,, ,,
IMP-TX-01,Transaction Import,Household,Known account rows import successfully,,, ,,
IMP-TX-02,Transaction Import,Household,Unknown account code is rejected clearly,,, ,,
HOLD-01,Holdings,Household,Household scope totals are correct,,, ,,
HOLD-02,Holdings,Investor,Investor scope isolates the selected investor,,, ,,
HOLD-03,Holdings,Demat Account,Account scope isolates the selected demat account,,, ,,
REAL-01,Realized P&L,Demat Account,Realized rows stay tied to correct account,,, ,,
DIV-01,Dividend Register,Investor,Dividend rows show correct investor and net amount,,, ,,
LED-01,Cash Ledger,Investor,Investor ledger filters and balances are correct,,, ,,
PACK-01,Statement Pack,Household,Pack renders company header and summary sections,,, ,,
PACK-02,Statement Pack,Household,Print preview / PDF output is usable,,, ,,
AUTH-01,Permissions,User Access,User without Wealth app cannot access Wealth routes,,, ,,
